codigo_postal,concelho,distrito
9370-635,Calheta,Ilha da Madeira
9000-264,Funchal,Ilha da Madeira
9060-239,Funchal,Ilha da Madeira
9020-323,Funchal,Ilha da Madeira
9020-402,Funchal,Ilha da Madeira
9000-162,Funchal,Ilha da Madeira
9050-021,Funchal,Ilha da Madeira
9626-320,não encontrado,não encontrado
1685-555,Odivelas,Lisboa
9350-419,Ribeira Brava,Ilha da Madeira
9300-092,Câmara de Lobos,Ilha da Madeira
9000-268,Funchal,Ilha da Madeira
9000-742,Funchal,Ilha da Madeira
9000-038,Funchal,Ilha da Madeira
9050-048,Funchal,Ilha da Madeira
9240-222,São Vicente,Ilha da Madeira
9000-690,Funchal,Ilha da Madeira
9020-411,Funchal,Ilha da Madeira
9000-720,Funchal,Ilha da Madeira
9000-737,Funchal,Ilha da Madeira
9020-135,Funchal,Ilha da Madeira
9000-199,Funchal,Ilha da Madeira
9050-445,Funchal,Ilha da Madeira
9225-050,Machico,Ilha da Madeira
2580-523,Alenquer,Lisboa
4815-766,Guimarães,Braga
9000-166,Funchal,Ilha da Madeira
9370-711,Calheta,Ilha da Madeira
9000-647,Funchal,Ilha da Madeira
9400-192,Porto Santo,Ilha de Porto Santo
4575-201,Penafiel,Porto
9370-581,Calheta,Ilha da Madeira
7750-104,Mértola,Beja
9000-090,Funchal,Ilha da Madeira
9000-743,Funchal,Ilha da Madeira
9050-447,Funchal,Ilha da Madeira
9625-035,Ribeira Grande,Ilha de São Miguel
9200-209,Machico,Ilha da Madeira
9300-029,Câmara de Lobos,Ilha da Madeira
9000-621,Funchal,Ilha da Madeira
3510-215,Viseu,Viseu
9000-248,Funchal,Ilha da Madeira
9000-749,Funchal,Ilha da Madeira
9600-908,não encontrado,não encontrado
9000-236,Funchal,Ilha da Madeira
9000-269,Funchal,Ilha da Madeira
9000-048,Funchal,Ilha da Madeira
9000-174,Funchal,Ilha da Madeira
9020-417,Funchal,Ilha da Madeira
9400-075,Porto Santo,Ilha de Porto Santo
9400-230,Porto Santo,Ilha de Porto Santo
1600-369,Lisboa,Lisboa
9000-705,Funchal,Ilha da Madeira
9000-645,Funchal,Ilha da Madeira
9400-210,Porto Santo,Ilha de Porto Santo
9060-137,Funchal,Ilha da Madeira
9000-120,Funchal,Ilha da Madeira
9000-634,Funchal,Ilha da Madeira
9360-516,Ponta do Sol,Ilha da Madeira
9360-537,Ponta do Sol,Ilha da Madeira
9020-062,Funchal,Ilha da Madeira
9000-072,Funchal,Ilha da Madeira
9000-716,Funchal,Ilha da Madeira
9020-103,Funchal,Ilha da Madeira
9020-130,Funchal,Ilha da Madeira
3100-130,Pombal,Leiria
9000-747,Funchal,Ilha da Madeira
1990-080,Lisboa,Lisboa
9004-541,Funchal,Ilha da Madeira
9000-031,Funchal,Ilha da Madeira
9020-071,Funchal,Ilha da Madeira
9555-033,Ponta Delgada,Ilha de São Miguel
9020-040,Funchal,Ilha da Madeira
9020-032,Funchal,Ilha da Madeira
9050-080,Funchal,Ilha da Madeira
6230-526,Fundão,Castelo Branco
3045-530,Coimbra,Coimbra
2600-407,Vila Franca de Xira,Lisboa
9300-303,Câmara de Lobos,Ilha da Madeira
4430-634,Vila Nova de Gaia,Porto
9000-774,Funchal,Ilha da Madeira
9000-163,Funchal,Ilha da Madeira
9000-144,Funchal,Ilha da Madeira
9000-736,Funchal,Ilha da Madeira
9000-782,Funchal,Ilha da Madeira
9000-170,Funchal,Ilha da Madeira
9000-043,Funchal,Ilha da Madeira
9020-158,Funchal,Ilha da Madeira
1950-418,Lisboa,Lisboa
9370-075,Calheta,Ilha da Madeira
9000-145,Funchal,Ilha da Madeira
9000-159,Funchal,Ilha da Madeira
9000-074,Funchal,Ilha da Madeira
9020-117,Funchal,Ilha da Madeira
9000-776,Funchal,Ilha da Madeira
9400-085,Porto Santo,Ilha de Porto Santo
1950-017,Lisboa,Lisboa
2300-348,Tomar,Santarém
9004-524,Funchal,Ilha da Madeira
9000-200,Funchal,Ilha da Madeira
9240-215,São Vicente,Ilha da Madeira
4425-299,Maia,Porto
9370-640,Calheta,Ilha da Madeira
9000-500,Funchal,Ilha da Madeira
9400-200,Porto Santo,Ilha de Porto Santo
9050-062,Funchal,Ilha da Madeira
6200-875,Covilhã,Castelo Branco
9000-184,Funchal,Ilha da Madeira
9240-207,São Vicente,Ilha da Madeira
9370-264,Calheta,Ilha da Madeira
9000-149,Funchal,Ilha da Madeira
3750-761,Águeda,Aveiro
6300-340,Guarda,Guarda
3720-924,Oliveira de Azeméis,Aveiro
9370-644,Calheta,Ilha da Madeira
9000-005,Funchal,Ilha da Madeira
9020-027,Funchal,Ilha da Madeira
1950-422,Lisboa,Lisboa
9360-543,Ponta do Sol,Ilha da Madeira
9360-559,Ponta do Sol,Ilha da Madeira
9370-048,Calheta,Ilha da Madeira
9000-017,Funchal,Ilha da Madeira
9060-011,Funchal,Ilha da Madeira
